[2026-07-16T18:41:03.179Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-16T18:41:03.184Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-16T18:41:03.185Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-16T18:41:03.186Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-16T18:41:03.187Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-16T18:41:03.188Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-16T18:41:03.188Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-16T18:41:03.190Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-16T18:41:03.191Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-16T18:41:03.195Z] [INFO] Daemon started (PID: 21352, CPUs: 12, workers: 7, maxCpuLoad: 9.600000000000001, minFreeMemoryPercent: 10%)
[2026-07-16T18:41:03.202Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-16T18:41:03.209Z] [INFO] Worker map completed in 11ms
[2026-07-16T18:43:03.191Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-16T18:43:03.196Z] [INFO] Worker audit completed in 6ms
[2026-07-16T18:45:03.194Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-16T18:45:03.200Z] [INFO] Worker optimize completed in 10ms
[2026-07-16T18:47:03.202Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-16T18:47:03.206Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-16T18:47:03.208Z] [INFO] Worker consolidate completed in 14ms
[2026-07-16T18:49:03.183Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-16T18:49:03.187Z] [INFO] Worker testgaps completed in 7ms
[2026-07-16T18:51:03.177Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-16T18:51:03.181Z] [INFO] Worker backup completed in 9ms
[2026-07-16T18:53:03.173Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-16T18:53:03.268Z] [INFO] Worker harness completed in 99ms
[2026-07-16T18:53:03.275Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-16T18:53:03.281Z] [INFO] Worker audit completed in 9ms
[2026-07-16T18:56:03.193Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-16T18:56:03.197Z] [INFO] Worker map completed in 8ms
[2026-07-16T19:00:03.181Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-16T19:00:03.183Z] [INFO] Worker optimize completed in 7ms
[2026-07-16T19:03:03.279Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-16T19:03:03.281Z] [INFO] Worker audit completed in 5ms
[2026-07-16T19:09:03.166Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-16T19:09:03.173Z] [INFO] Worker testgaps completed in 20ms
[2026-07-16T19:11:03.182Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-16T19:11:03.186Z] [INFO] Worker map completed in 8ms
[2026-07-16T19:13:03.274Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-16T19:13:03.277Z] [INFO] Worker audit completed in 8ms
[2026-07-16T19:15:03.168Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-16T19:15:03.170Z] [INFO] Worker optimize completed in 5ms
[2026-07-16T19:17:03.160Z] [INFO] Starting worker: consolidate (1/2 concurrent)
